Top,Sub,Aux,Name,Entry,Aliases
Locations,Upper Agartha,,Xiong Manor,,
Locations,,,Agartha,"A massive flying fortress created in ancient times by the Obscurian people. In modern history, Agartha is incorportated as a self-governing city-state of Armica.

The structure of Agartha is a massive, metallic sphere 25 miles in diameter, flanked by large wing structures that allow for high-speed flight. The structure is broken into several layered strata broken into two halves: the surface layers (broken further into Upper Agartha and Lower Agartha), and the subterranean Ruins. ",
Locations,,,Lower Agartha,"The lower layer of the city of Agartha, built and augmented from the existing infrastructure of Agartha. Contains a combination of residential districts interspersed with commercial and restaurant sectors. 

Due to the crowded conditions, personal transportation is scarcely used in Lower Agartha, and most Agarthans rely on the dense network of trains centered on Seven Stars Station.",
Locations,,,Upper Agartha,"The upper layer of the city of Agartha, constructed on top of the Lower Agarthan city by the Armican colonists to support a growing immigrant population. Contains many of the administrative and financial sectors of the city.",
Locations,,,Ruins,"A labyrinthian structure of tunnels and underground buildings making up the bottom half of Agartha. The Ruins were used by the ancient Obscurians as supporting infrastructure, including for the transfer of water and food, as well as rudimentary communications.

Currently, the Ruins are strictly off-limits to everyone except official AEIOU agents.",
Miscellaneous,,,Coil,An enclosed network of magical computing devices used solely within the city of Agartha. The Coil leverages a pre-existing network of wiring strung throughout Agartha from ancient times. Data transfer is facilitated through the encoding of messages via the Universal Spell Protocol (USP) invented by Typocrypha developer Ostanes.,
Miscellaneous,,,Evil Eye,"A mythical entity who is said to be the origin of all Demons. According to Obscurian myth, being caught under the gaze of the Evil Eye causes the subject to be cursed, and depending on the subject, that curse may take phyiscal form.",
Miscellaneous,,,AEIOU,"The governing body of the city of Agartha. AEIOU was founded by the Armican colonists to manage the growing immigrant population.

AEIOU consists of 5 branches:
  -The Admin Branch
  -The Extermination Branch
  -The Iconoclast Branch
  -The Ostanes Branch
  -The Utility Branch",
Miscellaneous,,,Armica,"A country within the North Armican continent. Early humans first migrated to the continent 12,000 years ago across the Bering land bridge. From the early 16th century on, various nations colonized parts of the continent (including the Spanish, French, and British, to name a few). This would eventually lead to a revolution by the colonies of Armica against their ruling monarchies, resulting in the formation of the sovereign nation of Armica.",
Miscellaneous,,,Boat Noodles,"A noodle dish orginating from the canals of Thailand. Usually containing pork or beef in a thick soup seasoned with pig or cow blood and spices.

Many products - especially natural ingredients - became scarce after the city of Agartha went into lockdown. It is thanks to the tencity of the immigrant cooks and growers that these culinary traditions have been alive. ",
Miscellaneous,,,Clarke,"The Typocrypha's ""AI Clerk,"" designed to assist users in the operation of their Typocrypha device. 

Clarke's AI personality was originally modeled after one of the orignal engineers who designed the Typocrypha. This, however, was deemed too standoffish and unsociable, and so it was eventually replaced with the current more upbeat personality. ",
Miscellaneous,,,Obscurai,"The indigenous people of Agartha, known for their innate magical abilities.",
Miscellaneous,,,Ostanes,"An Armican multinational technology conglomerate, known for their research and development of the Typocrypha. 

Ostanes was founded by current CEO Austin Steiner as a company specializing in networking devices. Steiner's early investment in the colonization of the city of Agartha would lead to the expansion of their business into research of magical computing devices, solidfying themselves as a pioneer in the space.",
Miscellaneous,,,Revolving Boy Juuto,"A Japanese anime following exchange student Juuto Maruizawa and his battles against the oppressive student council, who try to have Juuto expelled. The series was canceled partway after the production studio, Studio Spin, went bankrupt, airing only 10 of the planned 12 episodes. Since the original show run, several well known speculative endings (largely fan created) have been released, which have cemented the series as a cult hit.",
Miscellaneous,,,Spell,"An acronym for ""Serialized Prophetic Energy-Level Lattice."" By channeling magic energy through electronic circuits, a single instance of magically encoded information - the ""Spell"" - is generated, and can be used for various applications. The concept was originally invented by Ostanes in development of the Universal Spell Protocol (USP) used in the Typocrypha.",
Miscellaneous,,,TIPS,"An acronym for ""Typocrypha Information Presentation System."" A program on the Typocrypha which allows users to search for information on specific keywords via the Coil. The high speed and universal availability the Coil (within the city of Agartha) led to the preference of TIPS as a search tool over traditional electronic networking solutions.",
Miscellaneous,,,Typocrypha,"A class of magical computing devices that utilize free-text input peripherals. The original Typocrypha was invented in 2011 by technology conglomerate Ostanes to combat Demon attacks in the city of Agartha. 

While originally designed for combat against magical beings, modern Typocrypha have been augmented with various general use functionality (communicators, Coil search, navigation, etc).",
Miscellaneous,AEIOU Roles,,Medic,"Emergency care specialists who specialize in providing medical care in the field.

While the introduction of Typocrypha and healing Spells has improved medic efficacy, modern healing Spells lack the ability to fully heal heavy trauma. As such, medics within AEIOU are still expected to have practical medical training.",
Miscellaneous,AEIOU Roles,,Navigator,"Experts in navigation and tracking.

Competent Navigators are a rare and valuable resource within AEIOU. Navigating the Ruins is unlike navigating any other type of natural terrain, and few have a mind well-suited for the task.",
Miscellaneous,AEIOU Roles,,Forward Guard,,
Miscellaneous,AEIOU Roles,,Rear Guard,,
Miscellaneous,AEIOU Roles,,Leader,The designated leaad agent for an AEIOU team - they are responsble for giving orders to the other team members and managing team morale.,
People,,,Xiong Family,"A decorated family of soldiers, generals, and security officers, whose lineage of brave warriors dates back hundreds of years.

In the modern day, the Xiong family holds several high-profile positions within AEIOU. The previous Xiong matriarch, Athena Xiong, led the grand defense against Demon forces during the Awakening of the Evil Eye. After her tragic death during the operation, her oldest daughter Iris Xiong became the new matriarch at the young age of 10.",Xiong
People,,,Austin Steiner,,
People,,,,,
People,,,,,
People,,,,,
People,,,,,
,,,Demons,"Magical creatures originating from the city of Agartha. Varying greatly in biology, behavior, and magical capabilities, Demons represent the myths and stories they were born from. 

Demons are extremely dangerous. Should you encounter a Demon, immediately contact the Exterminators.",
,,,Locations,Locations folder,
,,,Miscellaneous,Miscellaneous folder,
,,,People,People folder,
